Year,Season,Nation,Gold,Silver,Bronze,Medals
2004,Summer,United Arab Emirates,1,0,0,1
2006,Winter,Germany,11,12,6,29
2006,Winter,USA,9,9,7,25
2006,Winter,Canada,7,10,7,24
2006,Winter,Austria,9,7,7,23
2006,Winter,Russia,8,6,8,22
2006,Winter,Norway,2,8,9,19
2006,Winter,Sweden,7,2,5,14
2006,Winter,Switzerland,5,4,5,14
2006,Winter,China,2,4,5,11
2006,Winter,Italy,5,0,6,11
2006,Winter,South Korea,6,3,2,11
2006,Winter,Finland,0,6,3,9
2006,Winter,France,3,2,4,9
2006,Winter,Netherlands,3,2,4,9
2006,Winter,Czech Republic,1,2,1,4
2006,Winter,Croatia,1,2,0,3
2006,Winter,Estonia,3,0,0,3
2006,Winter,Australia,1,0,1,2
2006,Winter,Poland,0,1,1,2
2006,Winter,Ukraine,0,0,2,2
2006,Winter,Belarus,0,1,0,1
2006,Winter,Bulgaria,0,1,0,1
2006,Winter,Japan,1,0,0,1
2006,Winter,Latvia,0,0,1,1
2006,Winter,Slovakia,0,1,0,1
2006,Winter,UK,0,1,0,1
2008,Summer,USA,36,39,35,110
2008,Summer,China,51,21,28,100
2008,Summer,Russia,23,21,28,72
2008,Summer,UK,19,13,16,48
2008,Summer,Australia,14,15,17,46
2008,Summer,France,7,16,18,41
2008,Summer,Germany,16,10,15,41
2008,Summer,South Korea,13,10,8,31
2008,Summer,Italy,8,9,10,27
2008,Summer,Ukraine,7,5,15,27
2008,Summer,Japan,9,7,9,25
2008,Summer,Cuba,2,11,11,24
2008,Summer,Canada,3,9,7,19
2008,Summer,Belarus,4,5,9,18
2008,Summer,Spain,5,10,3,18
2008,Summer,Brazil,3,4,9,16
2008,Summer,Netherlands,7,5,4,16
2008,Summer,Kenya,6,4,5,15
2008,Summer,Kazakhstan,2,4,7,13
2008,Summer,Hungary,3,5,2,10
2008,Summer,Poland,3,6,1,10
2008,Summer,Jamaica,5,2,2,9
2008,Summer,New Zealand,3,2,4,9
2008,Summer,Norway,3,5,1,9
2008,Summer,Romania,4,1,3,8
2008,Summer,Azerbaijan,1,2,4,7
2008,Summer,Denmark,2,2,3,7
2008,Summer,Ethiopia,4,1,2,7
2008,Summer,Switzerland,2,1,4,7
2008,Summer,Turkey,1,3,3,7
2008,Summer,Argentina,2,0,4,6
2008,Summer,Armenia,0,0,6,6
2008,Summer,Czech Republic,3,3,0,6
2008,Summer,Georgia,3,0,3,6
2008,Summer,North Korea,2,1,3,6
2008,Summer,Slovakia,3,2,1,6
2008,Summer,Uzbekistan,1,2,3,6
2008,Summer,Bulgaria,1,1,3,5
2008,Summer,Croatia,0,2,3,5
2008,Summer,Indonesia,1,1,3,5
2008,Summer,Lithuania,0,2,3,5
2008,Summer,Slovenia,1,2,2,5
2008,Summer,Sweden,0,4,1,5
2008,Summer,Finland,1,1,2,4
2008,Summer,Greece,0,2,2,4
2008,Summer,Mongolia,2,2,0,4
2008,Summer,Nigeria,0,1,3,4
2008,Summer,Taiwan,0,0,4,4
2008,Summer,Thailand,2,2,0,4
2008,Summer,Zimbabwe,1,3,0,4
2008,Summer,Austria,0,1,2,3
2008,Summer,India,1,0,2,3
2008,Summer,Ireland,0,1,2,3
2008,Summer,Latvia,1,1,1,3
2008,Summer,Mexico,2,0,1,3
2008,Summer,Serbia,0,1,2,3
2008,Summer,Algeria,0,1,1,2
2008,Summer,Bahamas,0,1,1,2
2008,Summer,Belgium,1,1,0,2
2008,Summer,Colombia,0,1,1,2
2008,Summer,Dominican Republic,1,1,0,2
2008,Summer,Estonia,1,1,0,2
2008,Summer,Iran,1,0,1,2
2008,Summer,Kyrgyzstan,0,1,1,2
2008,Summer,Morocco,0,1,1,2
2008,Summer,Portugal,1,1,0,2
2008,Summer,Tajikistan,0,1,1,2
2008,Summer,Trinidad,1,1,0,2
2008,Summer,Afghanistan,0,0,1,1
2008,Summer,Cameroon,1,0,0,1
2008,Summer,Chile,0,1,0,1
2008,Summer,Ecuador,0,1,0,1
2008,Summer,Egypt,0,0,1,1
2008,Summer,Iceland,0,1,0,1
2008,Summer,Israel,0,0,1,1
2008,Summer,Malaysia,0,1,0,1
2008,Summer,Mauritius,0,0,1,1
2008,Summer,Moldova,0,0,1,1
2008,Summer,Panama,1,0,0,1
2008,Summer,Singapore,0,1,0,1
2008,Summer,South Africa,0,1,0,1
2008,Summer,Sudan,0,1,0,1
2008,Summer,Togo,0,0,1,1
2008,Summer,Tunisia,1,0,0,1
2008,Summer,Venezuela,0,0,1,1
2008,Summer,Vietnam,0,1,0,1
2010,Winter,USA,9,15,13,37
2010,Winter,Germany,10,13,7,30
2010,Winter,Canada,14,7,5,26
2010,Winter,Norway,9,8,6,23
2010,Winter,Austria,4,6,6,16
2010,Winter,Russia,3,5,7,15
2010,Winter,South Korea,6,6,2,14
2010,Winter,China,5,2,4,11
2010,Winter,France,2,3,6,11
2010,Winter,Sweden,5,2,4,11
2010,Winter,Switzerland,6,0,3,9
2010,Winter,Netherlands,4,1,3,8
2010,Winter,Czech Republic,2,0,4,6
2010,Winter,Poland,1,3,2,6
2010,Winter,Finland,0,1,4,5
2010,Winter,Italy,1,1,3,5
2010,Winter,Japan,0,3,2,5
2010,Winter,Australia,2,1,0,3
2010,Winter,Belarus,1,1,1,3
2010,Winter,Croatia,0,2,1,3
2010,Winter,Slovakia,1,1,1,3
2010,Winter,Slovenia,0,2,1,3
2010,Winter,Latvia,0,2,0,2
2010,Winter,Estonia,0,1,0,1
2010,Winter,Kazakhstan,0,1,0,1
2010,Winter,UK,1,0,0,1
2012,Summer,USA,46,28,29,103
2012,Summer,China,38,27,24,89
2012,Summer,Russia,24,26,32,82
2012,Summer,UK,29,17,19,65
2012,Summer,Germany,11,19,14,44
2012,Summer,Japan,7,14,17,38
2012,Summer,Australia,7,16,12,35
2012,Summer,France,11,11,13,35
2012,Summer,Italy,8,9,11,28
2012,Summer,South Korea,13,8,7,28
2012,Summer,Netherlands,6,6,8,20
2012,Summer,Ukraine,6,5,9,20
2012,Summer,Canada,1,5,12,18
2012,Summer,Hungary,8,4,6,18
2012,Summer,Brazil,3,5,9,17
2012,Summer,Spain,3,10,4,17
2012,Summer,Cuba,5,3,6,14
2012,Summer,Kazakhstan,7,1,5,13
2012,Summer,New Zealand,6,2,5,13
2012,Summer,Belarus,2,5,5,12
2012,Summer,Iran,4,5,3,12
2012,Summer,Jamaica,4,4,4,12
2012,Summer,Kenya,2,4,5,11
2012,Summer,Azerbaijan,2,2,6,10
2012,Summer,Czech Republic,4,3,3,10
2012,Summer,Poland,2,2,6,10
2012,Summer,Denmark,2,4,3,9
2012,Summer,Romania,2,5,2,9
2012,Summer,Colombia,1,3,4,8
2012,Summer,Sweden,1,4,3,8
2012,Summer,Ethiopia,3,1,3,7
2012,Summer,Georgia,1,3,3,7
2012,Summer,Mexico,1,3,3,7
2012,Summer,Croatia,3,1,2,6
2012,Summer,India,0,2,4,6
2012,Summer,North Korea,4,0,2,6
2012,Summer,South Africa,3,2,1,6
2012,Summer,Ireland,1,1,3,5
2012,Summer,Lithuania,2,1,2,5
2012,Summer,Mongolia,0,2,3,5
2012,Summer,Turkey,2,2,1,5
2012,Summer,Argentina,1,1,2,4
2012,Summer,Norway,2,1,1,4
2012,Summer,Serbia,1,1,2,4
2012,Summer,Slovakia,0,1,3,4
2012,Summer,Slovenia,1,1,2,4
2012,Summer,Switzerland,2,2,0,4
2012,Summer,Trinidad,1,1,2,4
2012,Summer,Armenia,0,1,2,3
2012,Summer,Belgium,0,1,2,3
2012,Summer,Finland,0,1,2,3
2012,Summer,Thailand,0,2,1,3
2012,Summer,Tunisia,1,1,1,3
2012,Summer,Uzbekistan,1,0,2,3
2012,Summer,Bulgaria,0,1,1,2
2012,Summer,Dominican Republic,1,1,0,2
2012,Summer,Egypt,0,2,0,2
2012,Summer,Estonia,0,1,1,2
2012,Summer,Greece,0,0,2,2
2012,Summer,Indonesia,0,1,1,2
2012,Summer,Latvia,1,0,1,2
2012,Summer,Malaysia,0,1,1,2
2012,Summer,Moldova,0,0,2,2
2012,Summer,Puerto Rico,0,1,1,2
2012,Summer,Qatar,0,0,2,2
2012,Summer,Singapore,0,0,2,2
2012,Summer,Taiwan,0,1,1,2
2012,Summer,Afghanistan,0,0,1,1
2012,Summer,Algeria,1,0,0,1
2012,Summer,Bahamas,1,0,0,1
2012,Summer,Bahrain,0,0,1,1
2012,Summer,Botswana,0,1,0,1
2012,Summer,Cyprus,0,1,0,1
2012,Summer,Gabon,0,1,0,1
2012,Summer,Grenada,1,0,0,1
2012,Summer,Guatemala,0,1,0,1
2012,Summer,Kuwait,0,0,1,1
2012,Summer,Montenegro,0,1,0,1
2012,Summer,Morocco,0,0,1,1
2012,Summer,Portugal,0,1,0,1
2012,Summer,Saudi Arabia,0,0,1,1
2012,Summer,Tajikistan,0,0,1,1
2012,Summer,Uganda,1,0,0,1
2012,Summer,Venezuela,1,0,0,1
2014,Winter,Russia,13,11,9,33
2014,Winter,USA,9,7,12,28
2014,Winter,Norway,11,5,10,26
2014,Winter,Canada,10,10,5,25
2014,Winter,Netherlands,8,7,9,24
2014,Winter,Germany,8,6,5,19
2014,Winter,Austria,4,8,5,17
2014,Winter,France,4,4,7,15
2014,Winter,Sweden,2,7,6,15
2014,Winter,Switzerland,6,3,2,11
2014,Winter,China,3,4,2,9
2014,Winter,Czech Republic,2,4,2,8
2014,Winter,Italy,0,2,6,8
2014,Winter,Japan,1,4,3,8
2014,Winter,Slovenia,2,2,4,8
2014,Winter,South Korea,3,3,2,8
2014,Winter,Belarus,5,0,1,6
2014,Winter,Poland,4,1,1,6
2014,Winter,Finland,1,3,1,5
2014,Winter,Latvia,0,2,2,4
2014,Winter,UK,1,1,2,4
2014,Winter,Australia,0,2,1,3
2014,Winter,Ukraine,1,0,1,2
2014,Winter,Croatia,0,1,0,1
2014,Winter,Kazakhstan,0,0,1,1
2014,Winter,Slovakia,1,0,0,1
2016,Summer,USA,46,37,38,121
2016,Summer,China,26,18,26,70
2016,Summer,UK,27,23,17,67
2016,Summer,Russia,19,17,20,56
2016,Summer,France,10,18,14,42
2016,Summer,Germany,17,10,15,42
2016,Summer,Japan,12,8,21,41
2016,Summer,Australia,8,11,10,29
2016,Summer,Italy,8,12,8,28
2016,Summer,Canada,4,3,15,22
2016,Summer,South Korea,9,3,9,21
2016,Summer,Brazil,7,6,6,19
2016,Summer,Netherlands,8,7,4,19
2016,Summer,Azerbaijan,1,7,10,18
2016,Summer,Kazakhstan,3,5,10,18
2016,Summer,New Zealand,4,9,5,18
2016,Summer,Spain,7,4,6,17
2016,Summer,Denmark,2,6,7,15
2016,Summer,Hungary,8,3,4,15
2016,Summer,Kenya,6,6,1,13
2016,Summer,Uzbekistan,4,2,7,13
2016,Summer,Cuba,5,2,4,11
2016,Summer,Jamaica,6,3,2,11
2016,Summer,Poland,2,3,6,11
2016,Summer,Sweden,2,6,3,11
2016,Summer,Ukraine,2,5,4,11
2016,Summer,Croatia,5,3,2,10
2016,Summer,Czech Republic,1,2,7,10
2016,Summer,South Africa,2,6,2,10
2016,Summer,Belarus,1,4,4,9
2016,Summer,Colombia,3,2,3,8
2016,Summer,Ethiopia,1,2,5,8
2016,Summer,Iran,3,1,4,8
2016,Summer,Serbia,2,4,2,8
2016,Summer,Turkey,1,3,4,8
2016,Summer,Georgia,2,1,4,7
2016,Summer,North Korea,2,3,2,7
2016,Summer,Switzerland,3,2,2,7
2016,Summer,Belgium,2,2,2,6
2016,Summer,Greece,3,1,2,6
2016,Summer,Thailand,2,2,2,6
2016,Summer,Malaysia,0,4,1,5
2016,Summer,Mexico,0,3,2,5
2016,Summer,Argentina,3,1,0,4
2016,Summer,Armenia,1,3,0,4
2016,Summer,Lithuania,0,1,3,4
2016,Summer,Norway,0,0,4,4
2016,Summer,Romania,1,1,2,4
2016,Summer,Slovakia,2,2,0,4
2016,Summer,Slovenia,1,2,1,4
2016,Summer,Bulgaria,0,1,2,3
2016,Summer,Egypt,0,0,3,3
2016,Summer,Indonesia,1,2,0,3
2016,Summer,Taiwan,1,0,2,3
2016,Summer,Tunisia,0,0,3,3
2016,Summer,Venezuela,0,1,2,3
2016,Summer,Algeria,0,2,0,2
2016,Summer,Bahamas,1,0,1,2
2016,Summer,Bahrain,1,1,0,2
2016,Summer,India,0,1,1,2
2016,Summer,Individual Olympic Athletes,1,0,1,2
2016,Summer,Ireland,0,2,0,2
2016,Summer,Israel,0,0,2,2
2016,Summer,Ivory Coast,1,0,1,2
2016,Summer,Mongolia,0,1,1,2
2016,Summer,Vietnam,1,1,0,2
2016,Summer,Austria,0,0,1,1
2016,Summer,Burundi,0,1,0,1
2016,Summer,Dominican Republic,0,0,1,1
2016,Summer,Estonia,0,0,1,1
2016,Summer,Fiji,1,0,0,1
2016,Summer,Finland,0,0,1,1
2016,Summer,Grenada,0,1,0,1
2016,Summer,Jordan,1,0,0,1
2016,Summer,Kosovo,1,0,0,1
2016,Summer,Morocco,0,0,1,1
2016,Summer,Niger,0,1,0,1
2016,Summer,Nigeria,0,0,1,1
2016,Summer,Philippines,0,1,0,1
2016,Summer,Portugal,0,0,1,1
2016,Summer,Puerto Rico,1,0,0,1
2016,Summer,Qatar,0,1,0,1
2016,Summer,Singapore,1,0,0,1
2016,Summer,Tajikistan,1,0,0,1
2016,Summer,Trinidad,0,0,1,1
2016,Summer,United Arab Emirates,0,0,1,1
